"","ID","V8","V10","V12","V14","V16","V18","V20","V22","V24","V26","V28","V30","V32","V34","V36","V38","V40","V42","V44","V46","V48","V50","V52","V54","V56","V58","V60","V62","V64","V66","V68","V70","V72","V74","V76","V78","V80","V82","V84","V86","V88","V90","V92","V94","V96","V98","V100","V102","V104","V106","V108","V110","V112","V114","V116","V118","V120","V122"
"88","A88",5,5,5,5,5,5,4.7,3.43,3.01,2.96,2.6,2.59,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.43,2,2,2,2
"89","A89",5,5.56,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.91,7,7,7,7,7,7,7,7,7,7,7,7,7.09,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.17,8.5,8.5,8.5,8.47,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.52,7.1,7.1,7.1
"90","A90",5,5,5,5,5,4.8,4.8,4.8,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.94,5.2,5.2,5.2,5.22,5.3,5.3,5.3,5.33,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.46,5.5,5.5,5.5,5.5,5.5,5.5,5.6,5.6,5.6,5.6,5.61,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7
"91","A91",5,5,5,5,5,5,4.61,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.62,4.98,5,5,5,5,5,5,5,5.64,5.8,5.8,5.8,5.8,5.8,5.85,5.87,4.09,4,4,4,4,4,4,4,4,4,4,3.71,3.7
"92","A92",5,5,5,5,5,5,4.88,4.7,4.7,4.54,4.5,4.5,4.4,4.3,4.3,4.3,4.3,4.2,4.2,4.2,4.2,4.13,3.96,3.9,3.9,3.9,3.9,3.8,3.8,3.92,3.8,3.88,3.8,3.76,3.86,3.6,3.6,3.6,3.6,3.59,3.53,3.5,3.44,3.4,3.3,3.39,3.3,3.3,3.3,3.3,3.3,3.3,3.28,3.44,3.6,3.7,3.7,3.7
"93","A93",5,5,5,5,5.25,7.53,7.72,7.72,7.72,7.72,7.72,7.72,7.72,7.72,7.72,7.72,7.76,8.03,8.03,8.03,8.03,8.03,8.03,8.03,8.03,8.03,8.03,8.03,8.03,8.03,8.03,8.03,8.03,8.03,8.03,8.03,8.03,8.03,8.03,8.03,8.03,8.03,8.03,8.29,8.32,8.32,8.32,8.32,8.32,8.32,8.32,8.32,8.32,8.32,8.32,8.32,8.32,8.32
"94","A94",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.2,5.2,5.2,5.2,5.2,5.2,5.1,5.1,5.06,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9
"95","A95",5,5,5,5,5,5,5,3.62,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2.61,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
"96","A96",5,5,5,5,5,5,5,3.22,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,2.98,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.61,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9
"97","A97",5,5,5.1,5.28,5.3,5.3,5.3,5.3,5.4,5.4,5.4,5.4,5.4,5.49,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.53,5.76,5.8,5.8,5.77,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7
