"","ID","V8","V10","V12","V14","V16","V18","V20","V22","V24","V26","V28","V30","V32","V34","V36","V38","V40","V42","V44","V46","V48","V50","V52","V54","V56","V58","V60","V62","V64","V66","V68","V70","V72","V74","V76","V78","V80","V82","V84","V86","V88","V90","V92","V94","V96","V98","V100","V102","V104","V106","V108","V110","V112","V114","V116","V118","V120","V122","V124"
"77","A77",5,5,5,5,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.86,5.1,5.13,5.2,5.2,5.2,5.3,5.3,5.36,5.4,5.4,5.4,5.4,5.4,5.6,5.6,5.6,5.6,5.6,5.6,5.7,5.8,5.8,5.8,5.8,5.8,5.8,5.73,5.6,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.44,5.6,5.6,5.6,5.6,5.6,5.6,5.7,5.7,5.7,5.7
"78","A78",5,5,5,4.96,4.7,4.7,4.7,4.8,4.8,4.8,4.8,4.67,4.5,4.5,4.5,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.22,4.27,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4
"79","A79",5,5,5,5,5,5,5,5,5,5,4.8,4.67,4.6,4.6,4.6,4.6,4.7,4.7,4.7,4.7,4.7,4.86,5.3,5.5,5.5,5.6,5.6,5.6,5.7,5.69,5.6,5.43,5.1,5.01,5.32,5.5,5.5,5.5,5.5,5.17,5.1,5.01,4.8,4.8,4.8,4.8,4.8,4.94,4.84,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1
"80","A80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","A81",5,5,4.9,4.8,4.8,4.8,5,5.1,5.2,5.19,4.97,4.8,4.79,4.8,4.77,4.7,4.6,4.6,4.5,4.5,4.4,4.4,4.3,4.2,4.2,4.19,4.1,4.1,4.1,4.1,4.1,4.1,3.94,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.63,3.6,3.6,3.71,4.09,4.2,4.2,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.09,4,4
"82","A82",5,5,5,4.93,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.66,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.42,4.5,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.57,4.6,4.52,4.5,4.5,4.5,4.4,4.29,4.2,4.2,4.2
"83","A83",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.99,4.59
"84","A84",5,5,5,5,5,5,5,5,5,5,5.06,6.3,6.3,6.3,6.3,5.89,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.97,5,5,5,5,5,5,5,4.99,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2
"85","A85",5,5,5,4.7,4.54,4.4,4.32,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.47,5.16,5.97,6,6.5,6.5,6.5,6.5,6.47,6.21,6.11,6,6,6,6,6,5.78,5.16,5,5,5,5,5,5,5,4.4,4,4,4
"86","A86",5,5,5,5,5,5,5,5,5.02,5.43,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.87,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
