"","ID","V8","V10","V12","V14","V16","V18","V20","V22","V24","V26","V28","V30","V32","V34","V36","V38","V40","V42","V44","V46","V48","V50","V52","V54","V56","V58","V60","V62","V64","V66","V68","V70"
"86","A86",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.01,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.8,6.13,6.43,6.5,6.5,6.5
"87","A87",5,5,5.02,5.5,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.66,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.72,5.8,5.8,5.8,5.84,6.1,6.1
"88","A88",5,5,5,5,5,5,5,5,5,5,5.02,6.2,6.92,7.08,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
"89","A89",5,5,5,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.78,5.8,5.8,5.8,5.8,5.8,5.8,5.8,6.29,6.3,6.3,6.3,6.3,6.3,6.3,6.31,7.1,7.1,7.1,7.1,7.1,7.1
"90","A90",5,5,5,5,5,5,5,5,4.48,4.3,4.3,4.34,5.18,5.7,5.8,5.8,5.8,5.82,6.08,6.1,6.2,6.2,6.23,6.3,6.3,6.3,6.4,6.4,6.4,6.7,6.7,6.7
"91","A91",5,5,5,5,5.07,6.4,6.96,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9
"92","A92",5,5.41,5.65,6,6,6,6,6,6,6,6,5.66,5.72,6.32,6.3,6.36,6.4,6.6,6.5,6.5,6.5,6.5,6.5,6.54,6.6,6.6,6.6,6.6,6.58,6.58,6.62,6.7
"93","A93",5,5,5,5,5.16,5.49,5.49,5.49,5.49,5.49,5.49,5.49,5.49,5.49,5.49,5.49,5.49,5.49,5.49,5.49,5.59,6.44,6.44,6.44,6.44,6.44,6.57,6.57,6.57,6.57,6.57,6.57
"94","A94",5,5,5,5.09,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.63,5.99,6,6.3,6.4,6.4,6.48,6.5,6.5,6.5,6.5,6.72,7,7,7,7,7,7.16,7.77
"95","A95",5,3.79,3.6,3.63,4.8,4.8,5.56,6,6,6,6,6,6,6,6,6.02,7.6,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,8,8.4,8.4,8.3,7.98
"96","A96",5,5,5,5.14,7.2,7.2,7.2,7.2,7.2,7.2,7.29,7.79,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,9,9,9,9
"97","A97",5,4.9,4.87,4.8,4.8,4.8,4.8,4.7,4.7,4.7,4.7,4.67,4.6,4.6,4.6,4.6,4.78,4.93,5,5.13,5.2,5.2,5.19,5.1,5.2,5.2,5.2,5.2,5.2,5.2,4.97,4.9
"98","A98",5,5,5.08,4.73,4.77,4.4,4.4,4.4,4.4,4.43,6.73,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,7.69,8,8,8,8,8,8.2
"99","A99",5,5,5,5,5.3,5.4,5.4,5.4,5.32,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.48,5.5,5.94,6.3,6.3,6.3,6.3,6.3,6.3,6.49,6.7,6.7,6.7,6.7
"100","A100",4.9,1.03,1,1,1,1,1,1,1,1,3.32,3.88,4.04,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.66,2.46
"101","A101",5,5,5,5,5,5,5,5,5,5,5,5,6.09,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"102","A102",5,5,5,5.69,6.39,6.4,6.4,6.4,6.4,6.4,6.5,6.5,6.5,6.5,6.5,6.5,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7
"103","A103",5,5,5,5.1,5.39,5.35,5.6,5.71,5.67,5.63,5.6,5.29,5.31,5.54,5.58,5.63,5.74,5.61,5.61,5.66,5.68,5.68,5.68,5.65,5.59,5.7,5.64,5.53,5.43,5.5,5.1,5.03
"104","A104",5,5,5,5.53,5.7,5.7,5.7,5.7,5.7,5.71,6.06,6.08,6,6.29,6.3,6.3,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.62,7.07,7.3,7.87,8.3,8.34,8.48,8.7
"105","A105",5,4.71,4.1,4,4,4,4,4,3.62,3.27,3.12,3,3,3.09,2.79,2.5,2.5,2.22,2,2,2,2,2,1.7,1.7,1.6,1.6,1.6,1.6,1.5,1.5,1.4
"106","A106",5,5.48,7.02,7.62,8,8,8,8,8,8,8,8,8,8,7.93,7,7,7,7,7,7,7,7.55,8,8,8,8,8,8,8,8,8
"107","A107",5,5,5,5,5,5.99,6,6,6,6,6,6,6,6,6,6.98,6.99,7,7,7,7.02,8.48,7.99,8,8,8,8,8,8,8,8,8
"108","A108",5,5,5.12,6,6,6.01,6.3,6.3,6.3,6.3,6.3,6.3,6,6,6,6,6,6,6,6,6,6,6,6,5.3,7,7,7,7,7,7,7
"109","A109",5.07,5.61,6.09,6.23,6.37,6.52,6.7,6.6,6.34,6.02,6.82,7.08,7.1,7.1,6.74,6.68,6.74,6.51,6.41,6.34,6.43,6.62,6.7,7,7.67,8.58,9,9,9,9,9,9
"110","A110",5,5.2,5.68,5.96,6.53,7.43,8.03,8.12,8.33,8.33,8.59,8.64,8.68,8.63,8.64,8.87,8.76,8.73,7.92,7.39,6.41,6.24,6.07,5.8,6.06,6.44,6.94,7.22,7.91,8.02,8.38,8.8
"111","A111",5,5,5,5.22,5.84,5.9,6.13,6.38,6.55,6.55,6.55,6.55,6.6,6.6,6.6,6.6,6.64,6.7,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.83,6.85,6.85,6.85
"112","A112",5,5,5,5,5,5,5,5.14,5.5,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.63,5.63,5.63,5.67,5.69,5.71,5.72,5.9,6,6,6,6,6,6
"113","A113",5,5,5.31,6.18,6.77,7,7,7,7,7.04,7.3,7.37,7.4,7.4,7.4,7.4,7.4,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,8.19,8.7,8.7,8.7,8.7
"114","A114",4.94,4.28,5.01,5.66,5.7,5.79,5.91,5.86,6,6.42,6.77,6.26,5.86,6.04,6.03,6,6.62,6.71,6.6,7.06,7.43,7,6.64,6.31,6.31,6.56,6.6,6.7,6.92,6.83,6.51,6.3
"115","A115",5,4.98,4.8,4.8,4.8,4.8,4.8,4.8,4.8,5.08,5.52,5.4,5.56,4.58,4.02,3.69,5.04,5.39,5.54,6,6.04,6.47,5.9,6.04,7.04,7.4,7.43,7.97,8.88,9,8.74,9
"116","A116",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"117","A117",5,5,5,5,5,5,4.96,5.04,5.2,5.2,5.2,5.38,5.46,5.98,6.04,6.54,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.83,7.3,7.3,7.3,7.3,7.3,7.3
"118","A118",5,5,5,5.62,6.02,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8
"119","A119",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","A120",5,5,5,5,4.91,4.88,4.8,4.8,4.7,4.86,4.96,5,5,5,4.9,4.85,5.1,5.3,5.42,5.51,5.63,5.8,5.8,5.9,5.9,6,6.03,6.16,6.2,6.3,6.3,6.3
"121","A121",5,5,5.63,8.3,8.3,8.46,8.6,8.29,7.53,6.49,5.99,3.8,3.48,6,6,6.14,7.35,8.43,8.1,8.1,8.3,8.58,8.6,8.66,8.7,8.73,8.8,8.8,8.8,8.8,8.59,7.1
"122","A122",5,5,5,5,5,5,5,5,5,5,5.53,6,6,6,6,6,6.09,6.96,7,7,7,7,7,7,7,7,7,7,7,7,7,7
"123","A123",5,5,5,5,5,6.8,6.74,6.74,6.74,6.74,6.74,6.74,6.74,6.74,6.74,6.74,6.74,6.74,6.74,6.74,6.74,6.74,6.74,6.74,6.74,6.74,6.74,6.74,6.74,6.74,6.74,6.74
