"","ID","V8","V10","V12","V14","V16","V18","V20","V22","V24","V26","V28","V30","V32","V34","V36","V38","V40","V42","V44","V46","V48","V50","V52","V54","V56","V58","V60","V62","V64","V66","V68","V70","V72","V74","V76","V78","V80","V82","V84"
"55","A55",5,5.02,5.94,7.1,7.1,7.1,7.71,7.8,7.81,8,8,8,8,8.1,8.1,8.1,8.02,7.32,7,6.86,6.02,6,6,7.01,7.1,7.1,7.1,7.1,7.1,7.1,8,8,8,8,8,8,7.73,7.6,7.6
"56","A56",5,5,5.06,6,6,6,6,6,6,6,6,6,6,6.27,6.5,6.73,7,7,7,7,6.91,7,7,7,7,7.1,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.42,7.41
"57","A57",5,5,5.4,5.81,6,6,6,6,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1
"58","A58",5,5.12,7.37,7.5,7.5,7.5,7.5,7.5,7.57,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8.24,7.71,8.23,8.7,6.5,6.3,6.3,7.13,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4
"59","A59",5,5,5,5,5,5.1,6.04,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.5,6.5
"60","A60",5,5.38,7.88,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8.16,8.99,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"61","A61",5,5,5,5.04,5.7,5.7,6.47,6.8,6.8,6.8,7.3,7.4,7.4,7.42,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.63,7.04,6.76,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.94,7,7,7,7,7,7
"62","A62",5,5,5,5,5,5,5,5.04,5.3,5.3,5.3,5.3,5.22,4.87,4.8,4.8,4.71,4.64,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.86,4.9,4.9,5.04,5.2,5.2,5.2,5.2,5.2,5.2,5.2
"63","A63",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"64","A64",5,5,5,5,5,5,5,5,5,6.12,6.4,6.4,6.4,6.4,6.57,7,7.22,7.5,7.5,7.5,7.5,7.5,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.61,8,8,8,8,8,8,8,8
"65","A65",5,5.23,5.6,5.6,5.6,5.6,5.6,5.88,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6.1,6.44,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
"66","A66",5,4.28,1.74,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"67","A67",5,5.01,8.16,8.45,8.45,8.45,8.45,8.45,8.45,8.45,8.45,8.45,8.45,8.45,8.45,8.45,8.45,8.45,8.45,8.45,8.45,8.45,8.45,8.45,8.45,8.45,8.45,8.45,8.45,8.45,8.45,8.45,8.45,8.45,8.45,8.45,8.45,8.45,8.45
"68","A68",5,5,5,5,5,5,5,5,5,5,5,5,5,5.12,6.92,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
"69","A69",5,5,5,5.07,5.1,5.1,5.1,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.3,5.3,5.3,5.3,5.3,5.3
"70","A70",5.03,5.69,4.4,4,4,4,4,3.88,3.8,3.8,3.8,3.8,3.8,3.7,3.8,4.8,5.24,6.6,7.09,6,5.14,4.79,5.57,5.99,6.96,7,7,7,7,7,7,7,7.18,7.86,8.04,8.11,8.2,8.2,8.2
