"","ID","V8","V10","V12","V14","V16","V18","V20","V22","V24","V26","V28","V30","V32","V34","V36","V38","V40","V42","V44","V46","V48","V50","V52","V54","V56","V58","V60","V62","V64","V66","V68","V70","V72","V74","V76","V78","V80","V82","V84","V86","V88","V90"
"87","A87",5,5,5.02,5.1,5.2,5.2,5.33,5.66,5.83,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.38,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4
"88","A88",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.86,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"89","A89",5,5,5,5,5,5,5,5.18,5.8,5.8,5.8,5.8,6.48,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.7,6.7,6.7,6.7,6.4,6.4,6.39,6.2,6.2,6.2,6.2,6.2,6.2,6.5,6.5,6.5
"90","A90",5,5,5,5,5.1,5.1,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.39,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.3,4.61,4.51,5.7,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6
"91","A91",5,5,5,5,5,5,5,5,4.97,4.41,4.2,3.9,3.9,4.27,6.14,4.37,3.46,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.89,4.81,5.52,5.5,5.5,5.5,5.5,5.32,3.84,4.1,3.54,2.81,2.8,2.8,2.8,2.8,2.8,2.8
"92","A92",5,5.2,5,4.9,4.79,4.73,4.66,4.54,4.44,4.46,4.64,4.6,4.6,4.51,4.5,4.5,4.29,3.98,3.83,3.99,3.57,3.34,3.3,3.34,3.1,2.86,2.7,2.6,2.54,2.7,2.5,2.71,3.16,3.03,2.93,2.78,2.7,3.03,3.6,3.94,4.31,4.4
"93","A93",5,5,5,5,5,5,5,5,5,5,5,5,5.08,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,4.69,4.18,4.18,4.18,4.18,4.18,3.96,3.96,3.96,3.95,3.69,3.69,3.69,5.3,5.58,5.71,5.71,5.71,5.71,5.71,5.71
"94","A94",5,5,5.08,5.24,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.54,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5.97,5.64,5.79,6.17,6.1,6.1,6.11,6.3,6.52,6.9,7,7,6.63
"95","A95",5,6.3,6.43,7.23,7.77,7.89,7.76,8.12,8.3,8.4,7.91,7.78,7.8,7.8,7.8,7.8,6.49,5.7,5.7,5.7,5.7,5.7,5.7,5.68,4,3.6,3.6,3.6,3.6,3.6,3.6,3.62,5.5,5.7,5.89,6.2,6.2,6.2,6.2,6.21,6.7,6.7
"96","A96",5,5,5,5.03,6.3,6.3,6.3,6.3,6.4,7.05,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.39,7.4,7.4,7.4,7.3,6.8,6.91,7,7,7,7,6.07,6,6,6,6.1,6.5,6.5,6.5,6.5,6.5,6.5,6.5
"97","A97",5,5,5,5,5,4.88,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.4,4.4,4.4,4.48,4.6,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.6,4.4,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.36,4.49
"98","A98",5,5,4.92,4.67,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.45,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.68,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
"99","A99",5,5,5,5,5,5,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.43,5.5,5.5,5.5,5.5,4.37,4.2,4.06,3.72,3.5,3.5,3.5,3.5,3.47,3.4,3.89,4.73,5.48,5.5,5.5,5.5,5.5,5.5,5.6
"100","A100",4.99,3.44,2.58,2.01,1.5,1,1,1,1,1,1,1.03,1.13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"101","A101",5,5,5,5,5,5,5,5,5,5,5,5,5.35,5.9,5.9,5.9,5.9,5.9,5.9,5.2,5.1,5.2,5.2,5.2,5.2,5.01,4.22,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8
"102","A102",5,5.01,5.4,5.4,5.46,5.5,5.5,5.5,5.6,5.6,5.6,5.6,5.6,5.6,5.7,5.7,5.7,5.7,5.74,5.8,5.73,5.6,5.6,5.6,5.6,5.6,5.59,5.5,5.38,5.3,5.2,5.24,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3
"103","A103",5,5.06,5.4,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.7,5.7,5.7,5.7,5.7,5.7,5.67,5.04,4.7,4.7,4.53,4.5,4.5,4.5,4.5,4.4,4.4,4.4,4.4,4.48,4.24,4.48,4.9,4.9,4.98,5,5.12,5.42,5.5,5.5,5.5,5.5
"104","A104",5,5,4.9,4.8,4.69,4.6,4.54,4.44,4.33,4.21,4.2,4.22,5.3,5.2,4.98,5.13,4.84,3.87,3.57,4.34,3.63,3.44,3.31,3.6,3.1,3.04,2.71,2.7,2.7,2.7,2.66,2.97,3.23,3.8,4.37,4.62,4.7,4.86,5.09,5.7,5.99,6.1
"105","A105",5,5.22,5.67,6.08,6.6,6.6,6.6,6.6,6.8,6.8,7.12,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.51,7.6,7.74,7.38,7.1,7.26,7.3,7.3,7.4,7.5,7.5,7.5,7.57,7.75,7.15,6.98,7.01,7.05,7.97,8.3,7.96
"106","A106",5,5,4.61,4,4.06,5.41,6,6,6,6,6,6,6,6,6,6,5.98,5.5,5.5,4.72,3.89,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.18,2.52,4.02,4.5,4.5,4.78,5,5,5,5,5,5
"107","A107",5,5,5,5,5,5,5,5,5.01,4.99,4.99,5,5,5,5,5,5,4.7,4.51,4.51,4.51,4.51,4.51,4.51,4.51,4.51,4.51,4.51,4.51,4.51,4.51,4.21,4.28,4.28,4.3,4.07,4.07,4.07,4.07,4.07,4.07,4.07
